BTC/USD,57562.0,1571.0,2.81,57236.8,58562.8,57528.8,57532.5
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57546.8,1555.8,2.78,57236.8,58562.8,57546.8,57547.0
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57546.8,1555.8,2.78,57236.8,58562.8,57546.8,57547.0
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57547.0,1556.0,2.78,57236.8,58562.8,57544.5,57544.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57547.0,1556.0,2.78,57236.8,58562.8,57536.5,57536.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57512.2,1521.2,2.72,57236.8,58562.8,57497.5,57497.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57489.8,1498.8,2.68,57236.8,58562.8,57481.0,57489.0
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57508.0,1517.0,2.71,57236.8,58562.8,57528.5,57528.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57492.2,1501.2,2.68,57236.8,58562.8,57492.2,57492.5
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57521.5,1530.5,2.73,57236.8,58562.8,57511.5,57511.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57511.8,1520.8,2.72,57236.8,58562.8,57511.5,57511.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57511.8,1520.8,2.72,57236.8,58562.8,57511.5,57511.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57511.5,1520.5,2.72,57236.8,58562.8,57511.5,57511.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57512.8,1521.8,2.72,57236.8,58562.8,57512.5,57512.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57512.8,1521.8,2.72,57236.8,58562.8,57512.5,57512.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57512.8,1521.8,2.72,57236.8,58562.8,57512.5,57512.8
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57512.8,1521.8,2.72,57236.8,58562.8,57523.0,57527.2
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
INVESTING.COM EUR INDEX,109.76,-0.53,-0.48,109.71,110.45,0.00,0.00
NZD/USD,0.7162,-0.0083,-1.15,0.7151,0.7256,0.7159,0.7164
EUR/GBP,0.8699,0.0009,0.10,0.8681,0.8717,0.8697,0.8701
EUR/JPY,131.40,-0.58,-0.44,131.36,132.19,131.37,131.43
AUD/JPY,84.33,-0.23,-0.28,84.14,84.86,84.28,84.37
GBP/JPY,151.00,-0.82,-0.54,150.87,152.12,150.96,151.04
EUR/CHF,1.0973,-0.0034,-0.31,1.0973,1.1031,1.0969,1.0977
XAU/USD,1768.97,-3.15,-0.18,1764.36,1773.72,1768.84,1769.11
USD/INR,74.055,-0.035,-0.05,73.948,74.216,74.050,74.060
EUR/INR,89.0140,-0.7680,-0.86,88.9710,89.9085,88.9930,89.0350
GBP/INR,102.322,-0.959,-0.93,102.172,103.478,102.300,102.344
JPY/INR,0.6773,-0.0030,-0.44,0.6766,0.6817,0.6766,0.6779
EUR/USD,1.2020,-0.0098,-0.81,1.2017,1.2127,1.2018,1.2022
GBP/USD,1.3817,-0.0123,-0.88,1.3803,1.3959,1.3815,1.3819
USD/JPY,109.29,0.38,0.34,108.72,109.37,109.27,109.30
USD/CHF,0.9131,0.0048,0.53,0.9081,0.9141,0.9130,0.9132
AUD/USD,0.7713,-0.0051,-0.66,0.7696,0.7784,0.7710,0.7716
USD/CAD,1.2286,0.0007,0.06,1.2264,1.2322,1.2284,1.2288
BTC/USD,57523.8,1532.8,2.74,57236.8,58562.8,57489.8,57491.0
US DOLLAR INDEX,91.287,0.694,0.77,90.578,91.320,91.265,91.310
